speaker,start_time_row,date,,,,,start_time,text
Vice President ...:,0:17:19,9/29/20,,,0:42:19,0:40:59,0:40:59,Because you weren't president and screwing things up.
President Donal...:,0:17:20,9/29/20,,,0:42:20,0:41:00,0:41:00,You were a Senator and [crosstalk 00:17:21]-
Vice President ...:,0:17:21,9/29/20,,,0:42:21,0:41:01,0:41:01,You're the worst president America has ever had. Come on.
President Donal...:,0:17:24,9/29/20,,,0:42:24,0:41:04,0:41:04,"Hey, Joe, let me just tell you, Joe. In 47 months, I've done more than you've done in 47 years, Joe. We've done things that you never even thought of doing."
Chris Wallace:,0:17:33,9/29/20,,,0:42:33,0:41:13,0:41:13,Okay. Gentlemen?
President Donal...:,0:17:33,9/29/20,,,0:42:33,0:41:13,0:41:13,"Including fixing the broken military that you gave me, including taking care of your debts."
Chris Wallace:,0:17:38,9/29/20,,,0:42:38,0:41:18,0:41:18,"Mr. President, we're talking about the economy. I'd like to ask you about your plans going forward because Mr. Vice President, your economic plan-"
President Donal...:,0:17:46,9/29/20,,,0:42:46,0:41:26,0:41:26,He has none.
Chris Wallace:,0:17:47,9/29/20,,,0:42:47,0:41:27,0:41:27,"... if you were to be elected president focuses a lot on big government, big taxes, big spending. I want to focus first on the taxes. You propose more than $4 trillion over a decade in new taxes on individuals making more than $400,000 a year."
Chris Wallace:,0:18:03,9/29/20,,,0:43:03,0:41:43,0:41:43,"... on individuals making more than $400,000 a year and on corporations. President Trump says that that kind of an increase in taxes is going to hurt the economy as it's just coming out of a recession."
Vice President ...:,0:18:13,9/29/20,,,0:43:13,0:41:53,0:41:53,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we're going to make sure that every penny of that has to be made by a company-"
Chris Wallace:,0:18:50,9/29/20,,,0:43:50,0:42:30,0:42:30,"But respectfully, sir, I'm talking about taxes, not spending."
Vice President ...:,0:18:53,9/29/20,,,0:43:53,0:42:33,0:42:33,"By the way, I'm going to eliminate a significant number of the taxes. I'm going to make the corporate tax 28%. It shouldn't be 21%. You have 91 companies federal, I mean, the fortune 500, who don't pay a single penny in tax making billions of dollars."
President Donal...:,0:19:09,9/29/20,,,0:44:09,0:42:49,0:42:49,"Why didn't you do it before, when you were vice president with Obama?"
Vice President ...:,0:19:12,9/29/20,,,0:44:12,0:42:52,0:42:52,"Because you in fact passed that, that was your tax proposal."
President Donal...:,0:19:16,9/29/20,,,0:44:16,0:42:56,0:42:56,I got it done. And you know what happened?
Vice President ...:,0:19:17,9/29/20,,,0:44:17,0:42:57,0:42:57,"Yeah, you got it done-"
President Donal...:,0:19:18,9/29/20,,,0:44:18,0:42:58,0:42:58,Our economy boomed like it's never boomed before.
Vice President ...:,0:19:20,9/29/20,,,0:44:20,0:43:00,0:43:00,The economy-
Chris Wallace:,0:19:20,9/29/20,,,0:44:20,0:43:00,0:43:00,Mr. President-
Vice President ...:,0:19:22,9/29/20,,,0:44:22,0:43:02,0:43:02,Let me finish.
Chris Wallace:,0:19:23,9/29/20,,,0:44:23,0:43:03,0:43:03,"Mr. President, let me pick up on that. You would continue your free market approach, lower taxes, more deregulation, correct?"
Vice President ...:,0:19:31,9/29/20,,,0:44:31,0:43:11,0:43:11,Not lower tax for the American people.
Chris Wallace:,0:19:34,9/29/20,,,0:44:34,0:43:14,0:43:14,But let me-
President Donal...:,0:19:34,9/29/20,,,0:44:34,0:43:14,0:43:14,Excuse me.
Chris Wallace:,0:19:34,9/29/20,,,0:44:34,0:43:14,0:43:14,"You talk about the economy booming. It turns out that in Obama's final three years as president more jobs were created, a million and a half more jobs, than in the first three years of your presidency."
President Donal...:,0:19:47,9/29/20,,,0:44:47,0:43:27,0:43:27,"They had the slowest economic recovery since 1929. It was the slowest recovery. Also, they took over something that was down here. All you had to do is turn on the lights and you pick up a lot. But they had the slowest economic recovery since 1929, and let me tell you about the stock market. When the stock market goes up, that means jobs. It also means 401ks. If you got in, if you ever became president with your ideas, you want to terminate my taxes. I'll tell you what, you'll lose. Half of the companies that have poured in here will leave. And plenty of companies that are already here, they'll leave for other places. [crosstalk 00:20:25] They will leave and you will have a depression, the likes of which you've never seen."
Vice President ...:,0:20:29,9/29/20,,,0:45:29,0:44:09,0:44:09,Look-
Chris Wallace:,0:20:29,9/29/20,,,0:45:29,0:44:09,0:44:09,Mr. Vice President.
Vice President ...:,0:20:30,9/29/20,,,0:45:30,0:44:10,0:44:10,"... we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you're talking about. We handed him a booming economy, he blew it."
President Donal...:,0:20:44,9/29/20,,,0:45:44,0:44:24,0:44:24,It wasn't blooming.
Vice President ...:,0:20:45,9/29/20,,,0:45:45,0:44:25,0:44:25,He blew it.
President Donal...:,0:20:46,9/29/20,,,0:45:46,0:44:26,0:44:26,He was in booming. It was the weakest recovery since 1929.
Chris Wallace:,0:20:50,9/29/20,,,0:45:50,0:44:30,0:44:30,"Wait, wait, is it fair to say he blew it when, in fact-"
President Donal...:,0:20:53,9/29/20,,,0:45:53,0:44:33,0:44:33,When COVID came along.
Chris Wallace:,0:20:54,9/29/20,,,0:45:54,0:44:34,0:44:34,... when there was record low unemployment before COVID.
Vice President ...:,0:20:57,9/29/20,,,0:45:57,0:44:37,0:44:37,"Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-"
President Donal...:,0:21:04,9/29/20,,,0:46:04,0:44:44,0:44:44,"Excuse me, Chris, wait."
Vice President ...:,0:21:05,9/29/20,,,0:46:05,0:44:45,0:44:45,... number one. Number two-
President Donal...:,0:21:06,9/29/20,,,0:46:06,0:44:46,0:44:46,Chris.
Vice President ...:,0:21:06,9/29/20,,,0:46:06,0:44:46,0:44:46,Number three.
President Donal...:,0:21:07,9/29/20,,,0:46:07,0:44:47,0:44:47,"They said it would take... No, you're on number two."
Vice President ...:,0:21:09,9/29/20,,,0:46:09,0:44:49,0:44:49,No.
President Donal...:,0:21:10,9/29/20,,,0:46:10,0:44:50,0:44:50,"Chris, Chris. They said it would take-"
Vice President ...:,0:21:12,9/29/20,,,0:46:12,0:44:52,0:44:52,This guy-
President Donal...:,0:21:12,9/29/20,,,0:46:12,0:44:52,0:44:52,"... a miracle to bring back manufacturing. I brought back 700,000 jobs. They brought back nothing. They gave up on manufacturing."
Vice President ...:,0:21:20,9/29/20,,,0:46:20,0:45:00,0:45:00,We did not. [crosstalk 00:21:21]
President Donal...:,0:21:21,9/29/20,,,0:46:21,0:45:01,0:45:01,... standard fare.
Vice President ...:,0:21:22,9/29/20,,,0:46:22,0:45:02,0:45:02,I'm the guy that brought back the automobile industry.
President Donal...:,0:21:25,9/29/20,,,0:46:25,0:45:05,0:45:05,He totally gave up on manufacturing.
Chris Wallace:,0:21:25,9/29/20,,,0:46:25,0:45:05,0:45:05,"All right, let him-"
Vice President ...:,0:21:25,9/29/20,,,0:46:25,0:45:05,0:45:05,"I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They're gone. He blew it. And in fact, they're gone-"
President Donal...:,0:21:34,9/29/20,,,0:46:34,0:45:14,0:45:14,Ohio had the best year it's ever had last year. Michigan had the best year they've ever had.
Vice President ...:,0:21:40,9/29/20,,,0:46:40,0:45:20,0:45:20,That is not true.
President Donal...:,0:21:41,9/29/20,,,0:46:41,0:45:21,0:45:21,"Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn't come in with you. [crosstalk 00:21:47]."
Chris Wallace:,0:21:47,9/29/20,,,0:46:47,0:45:27,0:45:27,"Mr. Vice President, go ahead."
Vice President ...:,0:21:48,9/29/20,,,0:46:48,0:45:28,0:45:28,And so you take a look at what he's actually done. He's done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China's perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-
President Donal...:,0:22:06,9/29/20,,,0:47:06,0:45:46,0:45:46,China ate your lunch- [crosstalk 00:00:22:07].
Vice President ...:,0:22:08,9/29/20,,,0:47:08,0:45:48,0:45:48,... with Mexico.
President Donal...:,0:22:09,9/29/20,,,0:47:09,0:45:49,0:45:49,"China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we're at it, why is it just out of curiosity, the mayor of Moscow's wife gave you a son three and a half million dollars?"
Vice President ...:,0:22:28,9/29/20,,,0:47:28,0:46:08,0:46:08,That is not true.
President Donal...:,0:22:28,9/29/20,,,0:47:28,0:46:08,0:46:08,What did he do to deserve it? What did he do with-
Vice President ...:,0:22:31,9/29/20,,,0:47:31,0:46:11,0:46:11,None of that is true.
President Donal...:,0:22:31,9/29/20,,,0:47:31,0:46:11,0:46:11,"... to deserve $183,000?"
Chris Wallace:,0:22:31,9/29/20,,,0:47:31,0:46:11,0:46:11,"Sir, you've asked him a question, let him answer it."
Vice President ...:,0:22:37,9/29/20,,,0:47:37,0:46:17,0:46:17,None of that is true.
President Donal...:,0:22:38,9/29/20,,,0:47:38,0:46:18,0:46:18,"Oh really, he didn't get three and a half million?"
Chris Wallace:,0:22:39,9/29/20,,,0:47:39,0:46:19,0:46:19,Mr. President-
Vice President ...:,0:22:40,9/29/20,,,0:47:40,0:46:20,0:46:20,Is totally-
Chris Wallace:,0:22:41,9/29/20,,,0:47:41,0:46:21,0:46:21,"Mr. President, please. You've asked a question- [crosstalk 00:22:41]"
Vice President ...:,0:22:41,9/29/20,,,0:47:41,0:46:21,0:46:21,Totally discredited. Totally discredited. And by the way-
President Donal...:,0:22:45,9/29/20,,,0:47:45,0:46:25,0:46:25,"Well wait, he didn't get three and a half million dollars, Joe?"
Vice President ...:,0:22:48,9/29/20,,,0:47:48,0:46:28,0:46:28,Mr. Vice-
President Donal...:,0:22:48,9/29/20,,,0:47:48,0:46:28,0:46:28,He got three and a half million-
Chris Wallace:,0:22:49,9/29/20,,,0:47:49,0:46:29,0:46:29,Mr. President.
President Donal...:,0:22:49,9/29/20,,,0:47:49,0:46:29,0:46:29,... dollars.
Vice President ...:,0:22:50,9/29/20,,,0:47:50,0:46:30,0:46:30,That is not true.
President Donal...:,0:22:51,9/29/20,,,0:47:51,0:46:31,0:46:31,"Oh, really?"
Chris Wallace:,0:22:51,9/29/20,,,0:47:51,0:46:31,0:46:31,"Mr. President, it's an open discussion. Please- [crosstalk 00:22:56]"
President Donal...:,0:22:56,9/29/20,,,0:47:56,0:46:36,0:46:36,It's a fact.
Vice President ...:,0:22:57,9/29/20,,,0:47:57,0:46:37,0:46:37,It is not a fact.
Chris Wallace:,0:22:57,9/29/20,,,0:47:57,0:46:37,0:46:37,"Well, you have raised an issue, let the Vice President answer."
Vice President ...:,0:23:00,9/29/20,,,0:48:00,0:46:40,0:46:40,It's been totally discredited.
President Donal...:,0:23:01,9/29/20,,,0:48:01,0:46:41,0:46:41,"Did Burisma pay him 183,000 a month, with no experience in energy?"
Chris Wallace:,0:23:06,9/29/20,,,0:48:06,0:46:46,0:46:46,Mr. President-
Vice President ...:,0:23:07,9/29/20,,,0:48:07,0:46:47,0:46:47,My son did nothing wrong at Barisma-
President Donal...:,0:23:10,9/29/20,,,0:48:10,0:46:50,0:46:50,I think he did.
Chris Wallace:,0:23:10,9/29/20,,,0:48:10,0:46:50,0:46:50,"Mr. President, let him answer. [crosstalk 00:23:13]."
Vice President ...:,0:23:11,9/29/20,,,0:48:11,0:46:51,0:46:51,"He doesn't want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-"
President Donal...:,0:23:20,9/29/20,,,0:48:20,0:47:00,0:47:00,By who?
Vice President ...:,0:23:20,9/29/20,,,0:48:20,0:47:00,0:47:00,And you can-
President Donal...:,0:23:20,9/29/20,,,0:48:20,0:47:00,0:47:00,The media.
Vice President ...:,0:23:20,9/29/20,,,0:48:20,0:47:00,0:47:00,"by everybody. Well, by the media, by our allies."
President Donal...:,0:23:23,9/29/20,,,0:48:23,0:47:03,0:47:03,"By the media, because they refuse to talk about it-"
Vice President ...:,0:23:23,9/29/20,,,0:48:23,0:47:03,0:47:03,By the World Bank-
President Donal...:,0:23:24,9/29/20,,,0:48:24,0:47:04,0:47:04,... because they're embarrassed.
Vice President ...:,0:23:27,9/29/20,,,0:48:27,0:47:07,0:47:07,"By everyone, has discredited. And matter of fact [crosstalk 00:23:30] Matter of fact-"
Chris Wallace:,0:23:30,9/29/20,,,0:48:30,0:47:10,0:47:10,"Mr. President, please stop."
Vice President ...:,0:23:31,9/29/20,,,0:48:31,0:47:11,0:47:11,Even the people who testified under oath-
President Donal...:,0:23:33,9/29/20,,,0:48:33,0:47:13,0:47:13,"So let me ask you this, Joe- [crosstalk 00:23:35]."
Chris Wallace:,0:23:36,9/29/20,,,0:48:36,0:47:16,0:47:16,"Go ahead, I'm listening to you."
Vice President ...:,0:23:37,9/29/20,,,0:48:37,0:47:17,0:47:17,Even the people under-
President Donal...:,0:23:38,9/29/20,,,0:48:38,0:47:18,0:47:18,He got three and a half million dollars from Moscow.
Vice President ...:,0:23:40,9/29/20,,,0:48:40,0:47:20,0:47:20,... testified under oath in his administration said I did my job and I did it very well.
President Donal...:,0:23:47,9/29/20,,,0:48:47,0:47:27,0:47:27,"Oh, really?"
Vice President ...:,0:23:47,9/29/20,,,0:48:47,0:47:27,0:47:27,I did it honorably.
President Donal...:,0:23:47,9/29/20,,,0:48:47,0:47:27,0:47:27,I'd like to know who they are.
Vice President ...:,0:23:48,9/29/20,,,0:48:48,0:47:28,0:47:28,"Well, I'll give you the list of the people who-"
President Donal...:,0:23:50,9/29/20,,,0:48:50,0:47:30,0:47:30,I'll fire them.
Chris Wallace:,0:23:50,9/29/20,,,0:48:50,0:47:30,0:47:30,"No, no. Go ahead, sir."
Vice President ...:,0:23:51,9/29/20,,,0:48:51,0:47:31,0:47:31,"I'm sure that you've already fired most of them, because they did a good job."
President Donal...:,0:23:54,9/29/20,,,0:48:54,0:47:34,0:47:34,Some people don't do a good job.
Vice President ...:,0:23:55,9/29/20,,,0:48:55,0:47:35,0:47:35,"Well, here's the- [crosstalk 00:23:57]"
Chris Wallace:,0:23:57,9/29/20,,,0:48:57,0:47:37,0:47:37,"Go ahead. You get the- [crosstalk 00:23:57] Wait a minute. You get the final word, Mr.-"
Vice President ...:,0:23:59,9/29/20,,,0:48:59,0:47:39,0:47:39,"Well, it's hard to get any word in with this clown. Excuse me, this person."
President Donal...:,0:24:02,9/29/20,,,0:49:02,0:47:42,0:47:42,"Hey, let me just tell you, Joe-"
Vice President ...:,0:24:03,9/29/20,,,0:49:03,0:47:43,0:47:43,"No, no. Mr. President- [crosstalk 00:24:05]"
President Donal...:,0:24:04,9/29/20,,,0:49:04,0:47:44,0:47:44,"Three and a half million, Joe."
Vice President ...:,0:24:06,9/29/20,,,0:49:06,0:47:46,0:47:46,That is simply not true.
President Donal...:,0:24:07,9/29/20,,,0:49:07,0:47:47,0:47:47,Why did he deserve three and a half million from Moscow?
Vice President ...:,0:24:09,9/29/20,,,0:49:09,0:47:49,0:47:49,"Look, here's the deal. We want to talk about families and ethics. I don't want to do that. I mean, his family, we could talk about all night. His family's already-"
President Donal...:,0:24:19,9/29/20,,,0:49:19,0:47:59,0:47:59,My family-
Chris Wallace:,0:24:20,9/29/20,,,0:49:20,0:48:00,0:48:00,"No, no- [crosstalk 00:06:20]."
President Donal...:,0:24:20,9/29/20,,,0:49:20,0:48:00,0:48:00,My family lost a fortune by coming down and helping us with governance.
Vice President ...:,0:24:24,9/29/20,,,0:49:24,0:48:04,0:48:04,And that's such a- [crosstalk 00:24:25]
Chris Wallace:,0:24:25,9/29/20,,,0:49:25,0:48:05,0:48:05,Mr. President-
President Donal...:,0:24:26,9/29/20,,,0:49:26,0:48:06,0:48:06,Every single one of them lost a fortune-
Vice President ...:,0:24:27,9/29/20,,,0:49:27,0:48:07,0:48:07,"This is not about my family or his family. It's about your family, the American people. [crosstalk 00:24:32] That's not true. It doesn't want to talk about what you need. You, the American people, it's about you. That's what we're talking about here. [crosstalk 00:24:42]"
Chris Wallace:,0:24:43,9/29/20,,,0:49:43,0:48:23,0:48:23,That's the end of the segment. We're moving on.
Vice President ...:,0:24:46,9/29/20,,,0:49:46,0:48:26,0:48:26,He didn't take that.
Chris Wallace:,0:24:47,9/29/20,,,0:49:47,0:48:27,0:48:27,Vice President-
President Donal...:,0:24:47,9/29/20,,,0:49:47,0:48:27,0:48:27,"Chris, can I be honest? It's a very important question-"
Vice President ...:,0:24:49,9/29/20,,,0:49:49,0:48:29,0:48:29,Try to be honest.
Chris Wallace:,0:24:50,9/29/20,,,0:49:50,0:48:30,0:48:30,No.
President Donal...:,0:24:50,9/29/20,,,0:49:50,0:48:30,0:48:30,He stood up-
Chris Wallace:,0:24:52,9/29/20,,,0:49:52,0:48:32,0:48:32,The answer to the question is no.
President Donal...:,0:24:53,9/29/20,,,0:49:53,0:48:33,0:48:33,... and the threatened Ukraine-
Chris Wallace:,0:24:55,9/29/20,,,0:49:55,0:48:35,0:48:35,Sir-
President Donal...:,0:24:55,9/29/20,,,0:49:55,0:48:35,0:48:35,... with a billion dollars-
Vice President ...:,0:24:57,9/29/20,,,0:49:57,0:48:37,0:48:37,That is absolutely not true.
Chris Wallace:,0:25:01,9/29/20,,,0:50:01,0:48:41,0:48:41,"Stop. [crosstalk 00:25:02] Gentlemen, I hate to raise my voice, but I- [crosstalk 00:25:05] Why should I be different than the two of you? So here's the deal."
Vice President ...:,0:25:09,9/29/20,,,0:50:09,0:48:49,0:48:49,That's a good point.
Chris Wallace:,0:25:09,9/29/20,,,0:50:09,0:48:49,0:48:49,"We have six segments. We have ended that segment. We're going to go to the next segment. In that segment, you each are going to have two uninterrupted moments. In those two interrupted minutes, Mr. President, you can say anything you want. I'm going to ask a question about race, but if you want to answer about something else, go ahead. But I think that the country would be better served, if we allowed both people to speak with fewer interruptions. I'm appealing to you, sir, to do that."
President Donal...:,0:25:37,9/29/20,,,0:50:37,0:49:17,0:49:17,"Well, and him too."
Chris Wallace:,0:25:38,9/29/20,,,0:50:38,0:49:18,0:49:18,"Well, frankly, you've been doing more interrupting than he has."
President Donal...:,0:25:40,9/29/20,,,0:50:40,0:49:20,0:49:20,"Well, that's all right, but he does plenty."
Chris Wallace:,0:25:41,9/29/20,,,0:50:41,0:49:21,0:49:21,"Well, sir, less than-"
President Donal...:,0:25:43,9/29/20,,,0:50:43,0:49:23,0:49:23,He does plenty.
Chris Wallace:,0:25:43,9/29/20,,,0:50:43,0:49:23,0:49:23,"No, less than you have. Let's please continue on. The issue of rice. Vice-President Biden, you say that President Trump's response to the violence in Charlottesville three years ago, when he talked about very fine people on both sides, was what directly led you to launch this run for president."
President Donal...:,0:26:05,9/29/20,,,0:51:05,0:49:45,0:49:45,"Oh yeah, sure."
Chris Wallace:,0:26:06,9/29/20,,,0:51:06,0:49:46,0:49:46,"President Trump, you have often said that you believe you will have done more for Black Americans than any president with the possible exception of Abraham Lincoln."
President Donal...:,0:26:16,9/29/20,,,0:51:16,0:49:56,0:49:56,That's true.
Chris Wallace:,0:26:16,9/29/20,,,0:51:16,0:49:56,0:49:56,"My question for the two of you, is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years? Vice President Biden, you go first."
Vice President ...:,0:26:29,9/29/20,,,0:51:29,0:50:09,0:50:09,"It's about equity and equality. It's about decency. It's about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we've never accomplished it, but we've never walked away from it like he has done. It is true, the reason I got in the race is when those people... Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, ""There were very fine people on both sides."" No president's ever said anything like that. [crosstalk 00:27:10]."
Chris Wallace:,0:27:11,9/29/20,,,0:52:11,0:50:51,0:50:51,It is his-
Vice President ...:,0:27:12,9/29/20,,,0:52:12,0:50:52,0:50:52,Now-
Chris Wallace:,0:27:12,9/29/20,,,0:52:12,0:50:52,0:50:52,... minute sir.
Vice President ...:,0:27:13,9/29/20,,,0:52:13,0:50:53,0:50:53,"... second point I'd make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division."
Vice President ...:,0:27:50,9/29/20,,,0:52:50,0:51:30,0:51:30,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn't do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man's done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community."
President Donal...:,0:28:27,9/29/20,,,0:53:27,0:52:07,0:52:07,So-
Chris Wallace:,0:28:28,9/29/20,,,0:53:28,0:52:08,0:52:08,"President Trump, you have two minutes. Why should Americans trust you over your opponent to deal race issues?"
President Donal...:,0:28:34,9/29/20,,,0:53:34,0:52:14,0:52:14,"You did a crime bill, 1994, where you call them super predators. African-Americans are super predators and they've never forgotten it. They've never forgotten it."
Vice President ...:,0:28:43,9/29/20,,,0:53:43,0:52:23,0:52:23,I've never said-
Chris Wallace:,0:28:44,9/29/20,,,0:53:44,0:52:24,0:52:24,"No, no, sir. It's his two minutes."
President Donal...:,0:28:45,9/29/20,,,0:53:45,0:52:25,0:52:25,"So you did that and they call you a super predator and I'm letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990... And that's why, if you look at the polls, I'm doing better than any Republican has done in a long time, because they saw what you did. You call them super predators, and you've called them worse than that. Because you look back at your testimony over the years, you've called them a lot worse than that. As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every... Excuse me, Portland, the sheriff just came out today and he said, ""I support President Trump."""
President Donal...:,0:29:39,9/29/20,,,0:54:39,0:53:19,0:53:19,"I don't think you have any law enforcement. You can't even say the word law enforcement. Because if you say those words, you're going to lose all of your radical left supporters. And why aren't you saying those words, Joe? Why don't you say the words law enforcement? Because you know what? If called us in Portland, we would put out that fire in a half an hour. But they won't do it, because they're run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don't. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they've got you wrapped around their finger, Joe, to a point where you don't want to say anything about law and order. And I'll tell you what, the people of this country want and demand law and order and you're afraid to even say it."
Chris Wallace:,0:30:35,9/29/20,,,0:55:35,0:54:15,0:54:15,"All right. I want to return to the question of race. Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, ""Whether justice could be equally applied in America."" Do you believe that there is a separate but unequal system of justice for Blacks in this country?"
Vice President ...:,0:30:59,9/29/20,,,0:55:59,0:54:39,0:54:39,"Yes, there is. There's systemic injustice in this country, in education and work and in law enforcement and the way in which it's enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I'm going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we're going to work this out."
Vice President ...:,0:31:38,9/29/20,,,0:56:38,0:55:18,0:55:18,"We're going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren't happy to see what happened to George Floyd. These cops aren't happy to see what happened to Breonna Taylor. Most don't like it, but we have to have a system where people are held accountable when... And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate."
Chris Wallace:,0:32:04,9/29/20,,,0:57:04,0:55:44,0:55:44,"All right, Mr.-"
President Donal...:,0:32:05,9/29/20,,,0:57:05,0:55:45,0:55:45,What is peaceful protest? When they run through the middle of the town-
Chris Wallace:,0:32:08,9/29/20,,,0:57:08,0:55:48,0:55:48,President Trump-
President Donal...:,0:32:09,9/29/20,,,0:57:09,0:55:49,0:55:49,... and burn down your stores and kill people all over the place- [crosstalk 00:32:14].
Vice President ...:,0:32:11,9/29/20,,,0:57:11,0:55:51,0:55:51,That is not peaceful protest.
President Donal...:,0:32:13,9/29/20,,,0:57:13,0:55:53,0:55:53,"No it's not, but you say it is."
Chris Wallace:,0:32:15,9/29/20,,,0:57:15,0:55:55,0:55:55,"President Trump, I'd like to continue with the issue of race. I promise we're going to get to the issue of law and order in a moment."
President Donal...:,0:32:21,9/29/20,,,0:57:21,0:56:01,0:56:01,Fine.
Chris Wallace:,0:32:21,9/29/20,,,0:57:21,0:56:01,0:56:01,"This month, your administration directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory. Why did you decide to do that, to end racial sensitivity training? And do you believe that there is systemic racism in this country, sir?"
President Donal...:,0:32:42,9/29/20,,,0:57:42,0:56:22,0:56:22,"I ended it because it's racist. I ended it because a lot of people were complaining that they were asked to do things that were absolutely insane. That it a radical revolution that was taking place in our military, in our schools, all over the place. And you know it, and so does everybody else. And he would know it- [crosstalk 00:33:02]"
Chris Wallace:,0:33:02,9/29/20,,,0:58:02,0:56:42,0:56:42,What is radical about racial sensitivity training?
President Donal...:,0:33:05,9/29/20,,,0:58:05,0:56:45,0:56:45,"If you were a certain person, you had no status in life. It was sort of a reversal. And if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas. And really, they were teaching people to hate our country And I'm not going to do that. I'm not going to allow that to happen. We have to go back to the core values of this country. They were teaching people that our country is a horrible place. It's a racist place. And they were teaching people to hate our country. And I'm not going to allow that to happen."
Chris Wallace:,0:33:38,9/29/20,,,0:58:38,0:57:18,0:57:18,Vice President Biden.
Vice President ...:,0:33:39,9/29/20,,,0:58:39,0:57:19,0:57:19,Nobody's doing that. He's the racist.
President Donal...:,0:33:42,9/29/20,,,0:58:42,0:57:22,0:57:22,You just don't know.
Vice President ...:,0:33:43,9/29/20,,,0:58:43,0:57:23,0:57:23,Here's the deal. I know a lot more about this- [crosstalk 00:15:43].
Chris Wallace:,0:33:45,9/29/20,,,0:58:45,0:57:25,0:57:25,Let him finish.
Vice President ...:,0:33:47,9/29/20,,,0:58:47,0:57:27,0:57:27,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It's important people know. Many people don't want to hurt other people's feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It's a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don't have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we're all Americans. The only way we're going to bring this country together is bring everybody together. There's nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American."
Chris Wallace:,0:34:41,9/29/20,,,0:59:41,0:58:21,0:58:21,"Vice President... I mean, President Trump, sir."
President Donal...:,0:34:43,9/29/20,,,0:59:43,0:58:23,0:58:23,"During the Obama-Biden administration, there was tremendous division. There was hatred. You look at Ferguson, you look at, or you go to very... Many places, look at Oakland. Look what happened in Oakland. Look what happened in Baltimore. Look what happened... Frankly, it was more violent than what I'm even seeing now."
Vice President ...:,0:35:01,9/29/20,,,1:00:01,0:58:41,0:58:41,Oh my Lord.
President Donal...:,0:35:01,9/29/20,,,1:00:01,0:58:41,0:58:41,But the reason-
